"predictor","age1","age2","correlation"
"MCDIp","25","30",0.938883000686948
"MCDIp","26","16",0.69919045461405
"MCDIp","26","17",0.749134176831471
"MCDIp","26","18",0.839315304824807
"MCDIp","26","19",0.880012660673431
"MCDIp","26","20",0.891752256097597
"MCDIp","26","21",0.917453823114429
"MCDIp","26","22",0.951420610927212
"MCDIp","26","23",0.964412053260058
"MCDIp","26","24",0.98172282397164
"MCDIp","26","25",0.984335019884182
"MCDIp","26","26",1
"MCDIp","26","27",0.981514765869691
"MCDIp","26","28",0.969397656932456
"MCDIp","26","29",0.971606296075851
"MCDIp","26","30",0.950206114786943
"MCDIp","27","16",0.678332852709838
"MCDIp","27","17",0.734527969471355
"MCDIp","27","18",0.825976381952646
"MCDIp","27","19",0.868607235893386
"MCDIp","27","20",0.883017193626912
"MCDIp","27","21",0.912038095304229
"MCDIp","27","22",0.948606085296733
"MCDIp","27","23",0.960343469727825
"MCDIp","27","24",0.977483041212244
"MCDIp","27","25",0.980228116920932
"MCDIp","27","26",0.981514765869691
"MCDIp","27","27",1
"MCDIp","27","28",0.967228712686707
"MCDIp","27","29",0.976913753433005
"MCDIp","27","30",0.954538562989714
"MCDIp","28","16",0.590554724444584
"MCDIp","28","17",0.638308932803061
"MCDIp","28","18",0.741612377461493
"MCDIp","28","19",0.791207366316906
"MCDIp","28","20",0.805524919337363
"MCDIp","28","21",0.842168433881455
"MCDIp","28","22",0.893641964968548
"MCDIp","28","23",0.91272718938078
"MCDIp","28","24",0.951334817542865
"MCDIp","28","25",0.960675863524596
"MCDIp","28","26",0.969397656932456
"MCDIp","28","27",0.967228712686707
"MCDIp","28","28",1
"MCDIp","28","29",0.973470806271352
"MCDIp","28","30",0.984688233400337
"MCDIp","29","16",0.629623220002344
"MCDIp","29","17",0.689741654687046
"MCDIp","29","18",0.779110474560123
"MCDIp","29","19",0.825861066012042
"MCDIp","29","20",0.840036433700392
"MCDIp","29","21",0.874560604305657
"MCDIp","29","22",0.919588600951913
"MCDIp","29","23",0.938348905240358
"MCDIp","29","24",0.959316230380372
"MCDIp","29","25",0.967673902660828
"MCDIp","29","26",0.971606296075851
"MCDIp","29","27",0.976913753433005
"MCDIp","29","28",0.973470806271352
"MCDIp","29","29",1
"MCDIp","29","30",0.974593265392378
"MCDIp","30","16",0.543745662675339
"MCDIp","30","17",0.597176416088746
"MCDIp","30","18",0.698213749639176
"MCDIp","30","19",0.749787524615319
"MCDIp","30","20",0.765920340258054
"MCDIp","30","21",0.806124737426522
"MCDIp","30","22",0.864486622875304
"MCDIp","30","23",0.887259349922544
"MCDIp","30","24",0.926021936042723
"MCDIp","30","25",0.938883000686948
"MCDIp","30","26",0.950206114786943
"MCDIp","30","27",0.954538562989714
"MCDIp","30","28",0.984688233400337
"MCDIp","30","29",0.974593265392378
"MCDIp","30","30",1
"log_FQ","16","16",1
"log_FQ","16","17",0.997267055495191
"log_FQ","16","18",0.992477061153564
"log_FQ","16","19",0.988950955349577
"log_FQ","16","20",0.986640673240209
"log_FQ","16","21",0.983835314396949
"log_FQ","16","22",0.979370108023379
"log_FQ","16","23",0.976767208239317
"log_FQ","16","24",0.969047220666707
"log_FQ","16","25",0.966983766963585
"log_FQ","16","26",0.964789743013286
"log_FQ","16","27",0.962072138606944
"log_FQ","16","28",0.958015984427592
"log_FQ","16","29",0.955680453987077
"log_FQ","16","30",0.953830975922971
"log_FQ","17","16",0.997267055495191
"log_FQ","17","17",1
"log_FQ","17","18",0.9963460045758
"log_FQ","17","19",0.993400051808692
"log_FQ","17","20",0.991180715684776
"log_FQ","17","21",0.988628862163018
"log_FQ","17","22",0.984308993274227
"log_FQ","17","23",0.981764056868476
"log_FQ","17","24",0.973409510299997
"log_FQ","17","25",0.971263017053928
"log_FQ","17","26",0.96944057805481
"log_FQ","17","27",0.966929023959784
"log_FQ","17","28",0.963206378514156
"log_FQ","17","29",0.960664104041681
"log_FQ","17","30",0.958742744571965
"log_FQ","18","16",0.992477061153564
"log_FQ","18","17",0.9963460045758
"log_FQ","18","18",1
"log_FQ","18","19",0.997960752398297
"log_FQ","18","20",0.995685099839723
"log_FQ","18","21",0.993454395693698
"log_FQ","18","22",0.990875554619777
"log_FQ","18","23",0.988607026295969
"log_FQ","18","24",0.980571408660263
"log_FQ","18","25",0.978328274698439
"log_FQ","18","26",0.976699474815711
"log_FQ","18","27",0.97398523889852
"log_FQ","18","28",0.97011310447943
"log_FQ","18","29",0.967304422485526
"log_FQ","18","30",0.965212600538835
"log_FQ","19","16",0.988950955349577
"log_FQ","19","17",0.993400051808692
"log_FQ","19","18",0.997960752398297
"log_FQ","19","19",1
"log_FQ","19","20",0.998219528829707
"log_FQ","19","21",0.996508412980968
"log_FQ","19","22",0.993995930588506
"log_FQ","19","23",0.992005968037543
"log_FQ","19","24",0.98331473010878
"log_FQ","19","25",0.981420728141981
"log_FQ","19","26",0.980133490068546
"log_FQ","19","27",0.977684341289691
"log_FQ","19","28",0.974105610626607
"log_FQ","19","29",0.97168157777778
"log_FQ","19","30",0.969976759852315
"log_FQ","20","16",0.986640673240209
"log_FQ","20","17",0.991180715684776
"log_FQ","20","18",0.995685099839723
"log_FQ","20","19",0.998219528829707
"log_FQ","20","20",1
"log_FQ","20","21",0.998821535017318
"log_FQ","20","22",0.996386459142789
"log_FQ","20","23",0.994713159649973
"log_FQ","20","24",0.986494106038926
"log_FQ","20","25",0.985112616046765
"log_FQ","20","26",0.984041280600732
"log_FQ","20","27",0.981935432941351
"log_FQ","20","28",0.978737323121295
"log_FQ","20","29",0.976638623817232
"log_FQ","20","30",0.974972346620389
"log_FQ","21","16",0.983835314396949
"log_FQ","21","17",0.988628862163018
"log_FQ","21","18",0.993454395693698
"log_FQ","21","19",0.996508412980968
"log_FQ","21","20",0.998821535017318
"log_FQ","21","21",1
"log_FQ","21","22",0.998311289252186
"log_FQ","21","23",0.996983497678206
"log_FQ","21","24",0.989340171209952
"log_FQ","21","25",0.988317163044499
"log_FQ","21","26",0.987552771250124
"log_FQ","21","27",0.985649277558314
"log_FQ","21","28",0.982817939701679
"log_FQ","21","29",0.981048719134992
"log_FQ","21","30",0.979560657773475
"log_FQ","22","16",0.979370108023379
"log_FQ","22","17",0.984308993274227
"log_FQ","22","18",0.990875554619777
"log_FQ","22","19",0.993995930588506
"log_FQ","22","20",0.996386459142789
"log_FQ","22","21",0.998311289252186
"log_FQ","22","22",1
"log_FQ","22","23",0.999334358086298
"log_FQ","22","24",0.992353020496938
"log_FQ","22","25",0.991649329440049
"log_FQ","22","26",0.990905806039032
"log_FQ","22","27",0.989684244057232
"log_FQ","22","28",0.98764832074484
"log_FQ","22","29",0.985941865375175
"log_FQ","22","30",0.984505565251848
"log_FQ","23","16",0.976767208239317
"log_FQ","23","17",0.981764056868476
"log_FQ","23","18",0.988607026295969
"log_FQ","23","19",0.992005968037543
"log_FQ","23","20",0.994713159649973
"log_FQ","23","21",0.996983497678206
"log_FQ","23","22",0.999334358086298
"log_FQ","23","23",1
"log_FQ","23","24",0.99331949444566
"log_FQ","23","25",0.992824555161134
"log_FQ","23","26",0.992344906183092
"log_FQ","23","27",0.991265163701334
"log_FQ","23","28",0.989521210222166
"log_FQ","23","29",0.987955526864114
"log_FQ","23","30",0.986673673639615
"log_FQ","24","16",0.969047220666707
"log_FQ","24","17",0.973409510299997
"log_FQ","24","18",0.980571408660263
"log_FQ","24","19",0.98331473010878
"log_FQ","24","20",0.986494106038926
"log_FQ","24","21",0.989340171209952
"log_FQ","24","22",0.992353020496938
"log_FQ","24","23",0.99331949444566
"log_FQ","24","24",1
"log_FQ","24","25",0.999507143225787
"log_FQ","24","26",0.998750118018809
"log_FQ","24","27",0.997725761033044
"log_FQ","24","28",0.995720381497617
"log_FQ","24","29",0.99421182595819
"log_FQ","24","30",0.992722673763133
"log_FQ","25","16",0.966983766963585
"log_FQ","25","17",0.971263017053928
"log_FQ","25","18",0.978328274698439
"log_FQ","25","19",0.981420728141981
"log_FQ","25","20",0.985112616046765
"log_FQ","25","21",0.988317163044499
"log_FQ","25","22",0.991649329440049
"log_FQ","25","23",0.992824555161134
"log_FQ","25","24",0.999507143225787
"log_FQ","25","25",1
"log_FQ","25","26",0.999486738049586
"log_FQ","25","27",0.998808446882517
"log_FQ","25","28",0.997004545828777
"log_FQ","25","29",0.99580060633556
"log_FQ","25","30",0.994560034272747
"log_FQ","26","16",0.964789743013286
"log_FQ","26","17",0.96944057805481
"log_FQ","26","18",0.976699474815711
"log_FQ","26","19",0.980133490068546
"log_FQ","26","20",0.984041280600732
"log_FQ","26","21",0.987552771250124
"log_FQ","26","22",0.990905806039032
"log_FQ","26","23",0.992344906183092
"log_FQ","26","24",0.998750118018809
"log_FQ","26","25",0.999486738049586
"log_FQ","26","26",1
"log_FQ","26","27",0.999453307625871
"log_FQ","26","28",0.997964672678119
"log_FQ","26","29",0.996979427672016
"log_FQ","26","30",0.995987470531519
"log_FQ","27","16",0.962072138606944
"log_FQ","27","17",0.966929023959784
"log_FQ","27","18",0.97398523889852
"log_FQ","27","19",0.977684341289691
"log_FQ","27","20",0.981935432941351
"log_FQ","27","21",0.985649277558314
"log_FQ","27","22",0.989684244057232
"log_FQ","27","23",0.991265163701334
"log_FQ","27","24",0.997725761033044
"log_FQ","27","25",0.998808446882517
"log_FQ","27","26",0.999453307625871
"log_FQ","27","27",1
"log_FQ","27","28",0.999163482292219
"log_FQ","27","29",0.998457421060668
"log_FQ","27","30",0.997560256850976
"log_FQ","28","16",0.958015984427592
"log_FQ","28","17",0.963206378514156
"log_FQ","28","18",0.97011310447943
"log_FQ","28","19",0.974105610626607
"log_FQ","28","20",0.978737323121295
"log_FQ","28","21",0.982817939701679
"log_FQ","28","22",0.98764832074484
"log_FQ","28","23",0.989521210222166
"log_FQ","28","24",0.995720381497617
"log_FQ","28","25",0.997004545828777
"log_FQ","28","26",0.997964672678119
"log_FQ","28","27",0.999163482292219
"log_FQ","28","28",1
"log_FQ","28","29",0.999531456693856
"log_FQ","28","30",0.998732230300475
"log_FQ","29","16",0.955680453987077
"log_FQ","29","17",0.960664104041681
"log_FQ","29","18",0.967304422485526
"log_FQ","29","19",0.97168157777778
"log_FQ","29","20",0.976638623817232
"log_FQ","29","21",0.981048719134992
"log_FQ","29","22",0.985941865375175
"log_FQ","29","23",0.987955526864114
"log_FQ","29","24",0.99421182595819
"log_FQ","29","25",0.99580060633556
"log_FQ","29","26",0.996979427672016
"log_FQ","29","27",0.998457421060668
"log_FQ","29","28",0.999531456693856
"log_FQ","29","29",1
"log_FQ","29","30",0.999439436757923
"log_FQ","30","16",0.953830975922971
"log_FQ","30","17",0.958742744571965
"log_FQ","30","18",0.965212600538835
"log_FQ","30","19",0.969976759852315
"log_FQ","30","20",0.974972346620389
"log_FQ","30","21",0.979560657773475
"log_FQ","30","22",0.984505565251848
"log_FQ","30","23",0.986673673639615
"log_FQ","30","24",0.992722673763133
"log_FQ","30","25",0.994560034272747
"log_FQ","30","26",0.995987470531519
"log_FQ","30","27",0.997560256850976
"log_FQ","30","28",0.998732230300475
"log_FQ","30","29",0.999439436757923
"log_FQ","30","30",1
"LD","16","16",1
"LD","16","17",0.998474773277783
"LD","16","18",0.995487802682797
"LD","16","19",0.992711568136981
"LD","16","20",0.989797771960218
"LD","16","21",0.986398151612646
"LD","16","22",0.982235245013339
"LD","16","23",0.977670511008824
"LD","16","24",0.970689669185018
"LD","16","25",0.966667920640395
"LD","16","26",0.963518690496467
"LD","16","27",0.959641932297579
"LD","16","28",0.95563154393938
"LD","16","29",0.950607204058074
"LD","16","30",0.94667800945932
"LD","17","16",0.998474773277783
"LD","17","17",1
"LD","17","18",0.998224605243245
"LD","17","19",0.996171552967453
"LD","17","20",0.993894208607089
"LD","17","21",0.990998328157923
"LD","17","22",0.987207621249719
"LD","17","23",0.983059279017023
"LD","17","24",0.975923265889391
"LD","17","25",0.97213235882114
"LD","17","26",0.969055278994339
"LD","17","27",0.965360476390728
"LD","17","28",0.961417507540936
"LD","17","29",0.956440531805778
"LD","17","30",0.952639228786007
"LD","18","16",0.995487802682797
"LD","18","17",0.998224605243245
"LD","18","18",1
"LD","18","19",0.998858135387702
"LD","18","20",0.997089730770841
"LD","18","21",0.994758758533529
"LD","18","22",0.991709415940733
"LD","18","23",0.988121719227608
"LD","18","24",0.981862323632593
"LD","18","25",0.978373407471808
"LD","18","26",0.975545076112307
"LD","18","27",0.972085761841388
"LD","18","28",0.96830611278079
"LD","18","29",0.963542478200948
"LD","18","30",0.959984411795157
"LD","19","16",0.992711568136981
"LD","19","17",0.996171552967453
"LD","19","18",0.998858135387702
"LD","19","19",1
"LD","19","20",0.999016290924974
"LD","19","21",0.997329818262754
"LD","19","22",0.99476651903002
"LD","19","23",0.991900357109382
"LD","19","24",0.985901485355369
"LD","19","25",0.982941020990617
"LD","19","26",0.980527242290085
"LD","19","27",0.977555480254659
"LD","19","28",0.974088493974771
"LD","19","29",0.969743306110736
"LD","19","30",0.966567611739652
"LD","20","16",0.989797771960218
"LD","20","17",0.993894208607089
"LD","20","18",0.997089730770841
"LD","20","19",0.999016290924974
"LD","20","20",1
"LD","20","21",0.99902764037442
"LD","20","22",0.997060715369281
"LD","20","23",0.994872281535982
"LD","20","24",0.989071224810414
"LD","20","25",0.98659971611854
"LD","20","26",0.984573183156702
"LD","20","27",0.982029593229512
"LD","20","28",0.978985333703949
"LD","20","29",0.97503893140525
"LD","20","30",0.972066241181415
"LD","21","16",0.986398151612646
"LD","21","17",0.990998328157923
"LD","21","18",0.994758758533529
"LD","21","19",0.997329818262754
"LD","21","20",0.99902764037442
"LD","21","21",1
"LD","21","22",0.998916177942069
"LD","21","23",0.997324453160234
"LD","21","24",0.992082896702035
"LD","21","25",0.990171999606
"LD","21","26",0.988477863323032
"LD","21","27",0.986283130369448
"LD","21","28",0.98358772373243
"LD","21","29",0.980092479802748
"LD","21","30",0.977466834947629
"LD","22","16",0.982235245013339
"LD","22","17",0.987207621249719
"LD","22","18",0.991709415940733
"LD","22","19",0.99476651903002
"LD","22","20",0.997060715369281
"LD","22","21",0.998916177942069
"LD","22","22",1
"LD","22","23",0.999172211648713
"LD","22","24",0.994662043566636
"LD","22","25",0.993259078527922
"LD","22","26",0.991781004157446
"LD","22","27",0.989943420303
"LD","22","28",0.987576523119037
"LD","22","29",0.984415915127657
"LD","22","30",0.981977946833983
"LD","23","16",0.977670511008824
"LD","23","17",0.983059279017023
"LD","23","18",0.988121719227608
"LD","23","19",0.991900357109382
"LD","23","20",0.994872281535982
"LD","23","21",0.997324453160234
"LD","23","22",0.999172211648713
"LD","23","23",1
"LD","23","24",0.996333872018488
"LD","23","25",0.995431362200681
"LD","23","26",0.994303625105547
"LD","23","27",0.992817834366166
"LD","23","28",0.990828601156085
"LD","23","29",0.98805925809752
"LD","23","30",0.985909580632086
"LD","24","16",0.970689669185018
"LD","24","17",0.975923265889391
"LD","24","18",0.981862323632593
"LD","24","19",0.985901485355369
"LD","24","20",0.989071224810414
"LD","24","21",0.992082896702035
"LD","24","22",0.994662043566636
"LD","24","23",0.996333872018488
"LD","24","24",1
"LD","24","25",0.999309166323603
"LD","24","26",0.998365075296239
"LD","24","27",0.996996330490239
"LD","24","28",0.995190002948857
"LD","24","29",0.992782366873231
"LD","24","30",0.990797301116754
"LD","25","16",0.966667920640395
"LD","25","17",0.97213235882114
"LD","25","18",0.978373407471808
"LD","25","19",0.982941020990617
"LD","25","20",0.98659971611854
"LD","25","21",0.990171999606
"LD","25","22",0.993259078527922
"LD","25","23",0.995431362200681
"LD","25","24",0.999309166323603
"LD","25","25",1
"LD","25","26",0.999459543736868
"LD","25","27",0.998583862881891
"LD","25","28",0.997125149769155
"LD","25","29",0.995248216438354
"LD","25","30",0.993653524146892
"LD","26","16",0.963518690496467
"LD","26","17",0.969055278994339
"LD","26","18",0.975545076112307
"LD","26","19",0.980527242290085
"LD","26","20",0.984573183156702
"LD","26","21",0.988477863323032
"LD","26","22",0.991781004157446
"LD","26","23",0.994303625105547
"LD","26","24",0.998365075296239
"LD","26","25",0.999459543736868
"LD","26","26",1
"LD","26","27",0.999378690079165
"LD","26","28",0.998222888733661
"LD","26","29",0.996736617262972
"LD","26","30",0.995466892697403
"LD","27","16",0.959641932297579
"LD","27","17",0.965360476390728
"LD","27","18",0.972085761841388
"LD","27","19",0.977555480254659
"LD","27","20",0.982029593229512
"LD","27","21",0.986283130369448
"LD","27","22",0.989943420303
"LD","27","23",0.992817834366166
"LD","27","24",0.996996330490239
"LD","27","25",0.998583862881891
"LD","27","26",0.999378690079165
"LD","27","27",1
"LD","27","28",0.999337873737888
"LD","27","29",0.99827223077285
"LD","27","30",0.99719966456211
"LD","28","16",0.95563154393938
"LD","28","17",0.961417507540936
"LD","28","18",0.96830611278079
"LD","28","19",0.974088493974771
"LD","28","20",0.978985333703949
"LD","28","21",0.98358772373243
"LD","28","22",0.987576523119037
"LD","28","23",0.990828601156085
"LD","28","24",0.995190002948857
"LD","28","25",0.997125149769155
"LD","28","26",0.998222888733661
"LD","28","27",0.999337873737888
"LD","28","28",1
"LD","28","29",0.999302774517508
"LD","28","30",0.998476545559222
