"Estimate","Std. Error","z-value","Pr(>|z|)","2.50%","97.50%","Predictor","Age","Model"
0.169617117883475,0.119534565320355,1.41897966859124,0.155904943604749,-0.0646706301444205,0.403904865911371,"DD_scaled",18,"model23"
0.0714113274201345,0.0951347360573377,0.750633579065116,0.452873206681917,-0.115052755252247,0.257875410092516,"DD_scaled",21,"model24"
0.117965233604782,0.0659113603859183,1.78975571000329,0.073493192097905,-0.0112210327516182,0.247151499961182,"DD_scaled",24,"model25"
0.141124401432844,0.0514544506399395,2.74270543515049,0.00609353203613827,0.040273678178563,0.241975124687126,"DD_scaled",27,"model26"
0.133354718713695,0.043415225948919,3.0716117629008,0.00212906443315539,0.0482608758538143,0.218448561573577,"DD_scaled",30,"model27"
0.357491039507454,0.065188106673796,5.4839917547591,4.15834160848293e-08,0.229722350426813,0.485259728588094,"FQ_scaled",18,"model13"
0.285954013649098,0.0673917552501156,4.24316019946087,2.20393986285779e-05,0.153866173358872,0.418041853939325,"FQ_scaled",21,"model14"
0.33651838965379,0.0650348054268641,5.17443524963301,2.28601367816317e-07,0.209050171017136,0.463986608290443,"FQ_scaled",24,"model15"
0.368720797962048,0.0589743744408229,6.25222058662167,4.0465728931279e-10,0.253131024058035,0.484310571866061,"FQ_scaled",27,"model16"
0.428899447946625,0.0607001434269739,7.06587206770965,1.5961041336038e-12,0.309927166829756,0.547871729063493,"FQ_scaled",30,"model17"
0.325602878251068,0.071501629710544,4.55378261403534,5.26898044795076e-06,0.185459684018402,0.465746072483734,"LD_scaled",18,"model18"
0.306496718054328,0.0629297702918622,4.8704566476697,1.11340628939325e-06,0.183154368282278,0.429839067826377,"LD_scaled",24,"model20"
0.346272558844485,0.0563946244816158,6.14016959998318,8.24334214657974e-10,0.235739094860518,0.456806022828452,"LD_scaled",27,"model21"
0.418599091276378,0.0575210067680246,7.27732553368787,3.40502924280064e-13,0.30585791801105,0.531340264541707,"LD_scaled",30,"model22"
4.75564077861083,0.342313983857317,13.8926278296392,7.02113336345694e-44,4.08470537025049,5.42657618697117,"PKC_scaled",18,"model13"
4.71902760965697,0.353714090040268,13.3413616888141,1.33007585700968e-40,4.02574799317805,5.4123072261359,"PKC_scaled",18,"model18"
4.61819569622138,0.336408436080751,13.7279425867693,6.9067058436998e-43,3.95883516150311,5.27755623093965,"PKC_scaled",18,"model23"
5.23053763661174,0.345209866078876,15.1517617269277,7.37625121588617e-52,4.55392629909715,5.90714897412634,"PKC_scaled",21,"model14"
5.16530839329006,0.356230153648147,14.49991905624,1.21292840928061e-47,4.46709729213969,5.86351949444042,"PKC_scaled",21,"model19"
5.16530839329006,0.356230153648147,14.49991905624,1.21292840928061e-47,4.46709729213969,5.86351949444042,"PKC_scaled",21,"model24"
6.37491043174288,0.333951824450877,19.0893115862603,3.09825341776708e-81,5.72036485581916,7.0294560076666,"PKC_scaled",24,"model15"
6.33774230188117,0.314026299793536,20.1822022742938,1.40351721237113e-90,5.72225075428584,6.9532338494765,"PKC_scaled",24,"model20"
6.35458109110488,0.326415669753396,19.4677574636834,2.06098723512375e-84,5.71480637838823,6.99435580382154,"PKC_scaled",24,"model25"
7.06652179530537,0.380510733108209,18.5711497218025,5.50123028029327e-77,6.32072075841328,7.81232283219746,"PKC_scaled",27,"model16"
7.01299327944719,0.387079436415807,18.1177107840824,2.31008626396838e-73,6.25431758407221,7.77166897482217,"PKC_scaled",27,"model21"
7.13773487502512,0.41439724140259,17.2243783546106,1.74290193869932e-66,6.32551628187605,7.9499534681742,"PKC_scaled",27,"model26"
8.94462763571632,0.462481119450066,19.3405249631646,2.44968647286619e-83,8.03816464159419,9.85109062983845,"PKC_scaled",30,"model17"
8.88776878944009,0.411506526267037,21.5981235341881,1.87060954730176e-103,8.0812159979567,9.69432158092349,"PKC_scaled",30,"model22"
9.03639136526557,0.894826690476242,10.0984821546352,5.61037990666656e-24,7.28253105193214,10.790251678599,"PKC_scaled",30,"model27"
